PLAYER,ROLEXRANK,SG:APPROACH,GIR,AVG PROXIMITY (>50 YARDS),GUR
Celine HerbinRounds played 33,#398,-0.45,67.6%,27.6ft,9.40%
Chloe WilliamsRounds played 6,-,-0.46,-,24.5ft,17.8%
Pannarat ThanapolboonyarasRounds played 12,#540,-0.46,63.3%,27.7ft,5.90%
Amanda DohertyRounds played 64,#213,-0.47,65.6%,27.0ft,6.40%
Karis DavidsonRounds played 36,#292,-0.47,65.5%,26.8ft,6.80%
Kenzie WrightRounds played 2,-,-0.47,-,22.5ft,0%
Jaravee BoonchantRounds played 4,-,-0.48,-,27.4ft,4.20%
Nicole GarciaRounds played 6,-,-0.48,61.1%,25.9ft,8.00%
Stephanie KyriacouRounds played 66,#97,-0.53,69.4%,29.1ft,5.60%
Becky BrewertonRounds played 8,-,-0.54,-,33.9ft,9.00%
Brittany LincicomeRounds played 32,#192,-0.54,67.5%,27.7ft,2.10%
Sung Hyun ParkRounds played 55,#200,-0.55,67.9%,29.4ft,3.20%
Meghan MaclarenRounds played 10,-,-0.58,-,28.8ft,15.1%
Anne-Lise CaudalRounds played 2,-,-0.58,-,33.2ft,19.5%
Sara ImRounds played 2,-,-0.59,63.9%,30.5ft,0%
Miyu YamashitaRounds played 8,-,-0.59,-,37.1ft,3.50%
Patty TavatanakitRounds played 64,#54,-0.60,68.6%,28.7ft,5.10%
Jennifer SongRounds played 66,#259,-0.61,66.6%,26.7ft,2.50%
Brianna DoRounds played 30,#465,-0.62,62.5%,30.8ft,2.70%
Marianne SkarpnordRounds played 8,-,-0.62,-,31.5ft,9.20%
Nanna Koerstz MadsenRounds played 68,#53,-0.62,70.3%,27.8ft,3.90%
Carlota CigandaRounds played 79,#52,-0.62,71.5%,30.1ft,5.80%
Jaye Marie GreenRounds played 36,#327,-0.63,68.2%,27.8ft,3.90%
Linnea JohanssonRounds played 59,#416,-0.64,64.0%,27.4ft,3.00%
Annabel DimmockRounds played 4,-,-0.64,-,42.8ft,8.30%
Ayako UeharaRounds played 20,#449,-0.66,63.9%,26.3ft,1.70%
Laura DaviesRounds played 8,#587,-0.66,52.8%,28.4ft,3.50%
Angel YinRounds played 79,#138,-0.67,65.0%,31.0ft,4.00%
Saki BabaRounds played 4,-,-0.67,62.5%,37.6ft,0%
Christina KimRounds played 47,#402,-0.69,64.3%,26.6ft,2.80%
In Kyung KimRounds played 40,#319,-0.70,62.8%,30.0ft,1.50%
Magdalena SimmermacherRounds played 8,-,-0.70,-,29.3ft,13.3%
Vivian HouRounds played 25,#647,-0.71,65.0%,27.9ft,0.50%
Sophia SchubertRounds played 76,#76,-0.72,70.4%,27.6ft,1.30%
Lauren HartlageRounds played 44,#624,-0.72,65.1%,28.3ft,5.10%
Rebecca Lee-BenthamRounds played 4,-,-0.72,-,36.3ft,0%
Kylie HenryRounds played 8,-,-0.72,-,31.7ft,13.2%
Yaeeun HongRounds played 58,#310,-0.73,58.5%,28.4ft,2.50%
Vicky HurstRounds played 10,#843,-0.73,58.3%,28.9ft,4.30%
Ingrid Gutierrez NunezRounds played 2,-,-0.73,63.9%,26.5ft,0%
Anne Van DamRounds played 28,#255,-0.73,63.2%,29.5ft,8.40%
Mariajo UribeRounds played 20,#940,-0.74,61.5%,32.5ft,8.10%
Michelle LiuRounds played 2,-,-0.74,-,32.0ft,0%
Alena SharpRounds played 35,#328,-0.76,70.1%,28.5ft,5.30%
Momoko UedaRounds played 10,-,-0.77,61.1%,34.4ft,0.60%
Chanettee WannasaenRounds played 10,-,-0.78,-,30.9ft,3.30%
Sophia PopovRounds played 49,#245,-0.79,64.7%,31.9ft,2.10%
Katherine KirkRounds played 28,#404,-0.79,62.3%,31.4ft,2.10%
Cristie KerrRounds played 33,#394,-0.81,63.4%,29.4ft,1.90%
Dottie ArdinaRounds played 23,#342,-0.82,65.3%,29.4ft,1.60%
Ana BelacRounds played 52,#428,-0.83,64.7%,26.6ft,3.20%
Liz NagelRounds played 27,#589,-0.85,64.0%,29.0ft,8.60%
Youngin ChunRounds played 12,#932,-0.85,57.4%,34.2ft,2.50%
Yu-Sang HouRounds played 30,#531,-0.86,62.7%,33.8ft,2.40%
Dani HolmqvistRounds played 7,#346,-0.91,66.7%,31.3ft,2.20%
Mel ReidRounds played 49,#220,-0.92,64.3%,30.3ft,3.10%
Lydia HallRounds played 10,-,-0.93,61.1%,30.7ft,5.00%
Annika SorenstamRounds played 6,-,-0.93,55.6%,39.6ft,0%
Fatima Fernandez CanoRounds played 34,#419,-0.94,63.5%,28.7ft,4.30%
Catherine ParkRounds played 2,-,-0.95,75.0%,32.6ft,0%
Becky MorganRounds played 6,#401,-0.97,63.9%,34.6ft,25.0%
Savannah VilaubiRounds played 34,#742,-0.97,60.6%,31.5ft,6.00%
Katherine Perry-HamskiRounds played 49,#533,-0.98,63.0%,30.6ft,4.00%
Suzuka YamaguchiRounds played 2,-,-0.99,-,38.0ft,0%
Kennedy SwannRounds played 2,-,-1.01,-,27.5ft,0%
Bianca PagdangananRounds played 50,#324,-1.01,66.0%,30.4ft,5.20%
Savannah GrewalRounds played 2,-,-1.01,-,38.5ft,2.80%
Lauren GomezRounds played 2,-,-1.01,55.6%,34.2ft,0%
Rachel RohannaRounds played 51,#473,-1.02,64.8%,28.5ft,3.30%
Alana UriellRounds played 55,#337,-1.03,65.3%,30.3ft,5.20%
Jillian HollisRounds played 14,#443,-1.03,62.2%,33.1ft,0%
Agathe LaisneRounds played 41,#379,-1.03,64.9%,31.9ft,3.70%
Karrie WebbRounds played 10,#790,-1.04,64.8%,40.7ft,0%
Prima ThammaraksRounds played 4,-,-1.05,-,27.9ft,1.40%
Meaghan FrancellaRounds played 6,-,-1.05,56.9%,30.7ft,0%
Jeonghyun LeeRounds played 2,-,-1.06,61.1%,36.9ft,0%
Pavarisa YoktuanRounds played 8,#413,-1.07,65.3%,30.8ft,0%
Ami GianchandaniRounds played 2,-,-1.09,63.9%,31.6ft,0%
Jung Min HongRounds played 2,-,-1.09,-,38.7ft,2.80%
Allison EmreyRounds played 54,#378,-1.10,59.7%,32.5ft,3.60%
Nicole Broch EstrupRounds played 14,#279,-1.19,62.5%,32.9ft,22.6%
Kaitlyn Papp BuddeRounds played 50,#446,-1.21,64.6%,31.0ft,4.10%
Maria McbrideRounds played 6,-,-1.22,58.3%,30.4ft,20.0%
Jiwon JeonRounds played 16,#556,-1.24,61.1%,29.4ft,0.70%
Angela StanfordRounds played 44,#312,-1.27,61.5%,31.6ft,6.30%
Beatriz RecariRounds played 2,#1287,-1.28,58.3%,35.5ft,0%
Lauren KimRounds played 22,#643,-1.29,58.6%,30.5ft,1.70%
Alexandra ForsterlingRounds played 2,-,-1.33,50.0%,43.0ft,0%
Karen KimRounds played 2,-,-1.36,55.6%,43.2ft,0%
Jing YanRounds played 16,#748,-1.37,56.3%,30.8ft,9.20%
Kristen GillmanRounds played 20,#522,-1.40,58.6%,33.4ft,5.90%
Kylee ChoiRounds played 2,-,-1.52,50.0%,42.2ft,0%
Kris TamulisRounds played 6,#1295,-1.55,66.7%,34.3ft,5.00%
Sarah-Eve RheaumeRounds played 2,-,-1.55,-,33.0ft,0%
Christine WolfRounds played 4,-,-1.57,-,26.1ft,13.9%
Gurleen KaurRounds played 4,-,-1.62,-,30.5ft,0%
Soo Bin JooRounds played 2,-,-1.63,58.3%,32.2ft,0%
Mizuki HashimotoRounds played 4,-,-1.64,-,33.2ft,0%
Arpichaya YubolRounds played 4,-,-1.69,-,22.6ft,2.80%
Rina TatematsuRounds played 4,-,-1.73,-,30.0ft,1.40%
Karissa KilbyRounds played 2,-,-1.75,52.8%,35.8ft,0%
Amelia LewisRounds played 16,#920,-1.77,63.0%,33.3ft,5.90%
Kristy McphersonRounds played 10,#862,-1.81,49.1%,29.0ft,0%
Annabell FullerRounds played 2,-,-1.83,55.6%,36.0ft,0%
Jana MelichovaRounds played 6,-,-1.85,-,37.7ft,7.40%
Emma McmylerRounds played 4,-,-1.86,52.8%,31.4ft,0%
Sandra GalRounds played 2,#1157,-1.88,52.8%,31.3ft,0%
Auston KimRounds played 2,-,-1.90,52.8%,50.2ft,0%
Sydnee MichaelsRounds played 14,#859,-1.90,55.0%,30.3ft,2.60%
Gabriella CowleyRounds played 4,-,-1.93,-,33.6ft,16.7%
Sock Hwee KohRounds played 4,-,-1.96,-,35.1ft,0%
Michelle Wie WestRounds played 6,#740,-1.97,54.6%,38.9ft,0%
Min Seo KwakRounds played 8,#898,-2.02,53.7%,35.5ft,0.90%
Stephanie Connelly EiswerthRounds played 2,-,-2.08,-,32.0ft,0%
Brooke MatthewsRounds played 38,#832,-2.13,60.8%,35.2ft,5.70%
Taylor CollinsRounds played 2,-,-2.14,-,37.0ft,0%
Valerie TanguayRounds played 2,-,-2.33,-,37.5ft,0%
Nishtha MadanRounds played 2,-,-2.35,-,18.7ft,0%
Laura FuenfstueckRounds played 2,-,-2.42,-,58.8ft,22.2%
Karolin LampertRounds played 5,-,-2.45,-,30.0ft,14.4%
Kim MetrauxRounds played 4,-,-2.52,-,41.3ft,13.9%
Ashli BunchRounds played 2,-,-2.54,36.1%,38.3ft,0%
Natsumi HayakawaRounds played 2,-,-2.54,47.2%,51.7ft,0%
Mariel GaldianoRounds played 2,-,-2.56,63.9%,30.9ft,0%
Manon De RoeyRounds played 10,-,-2.57,-,35.5ft,12.5%
Noora KomulainenRounds played 4,-,-2.70,-,22.5ft,9.70%
Sandra ChangkijaRounds played 2,-,-2.72,-,34.0ft,0%
Georgia ObohRounds played 2,-,-2.77,-,32.7ft,0%
Aline KrauterRounds played 9,-,-2.84,-,30.2ft,4.40%
Hannah BurkeRounds played 2,-,-2.92,-,34.5ft,22.2%
Ai SuzukiRounds played 5,-,-2.95,44.4%,40.5ft,0%
Haley MooreRounds played 6,#893,-2.96,51.4%,36.7ft,11.4%
Megan OslandRounds played 4,-,-3.09,-,31.1ft,0%
Blakesly BrockRounds played 2,-,-3.13,47.2%,31.2ft,0%
Cindy LacrosseRounds played 6,#1145,-3.31,50.0%,39.9ft,0%
Kristyna NapoleaovaRounds played 2,-,-3.34,-,42.6ft,13.9%
Nika ItoRounds played 2,-,-3.45,44.4%,47.3ft,0%
Lauren MillerRounds played 2,-,-3.49,36.1%,56.8ft,0%
Krista BakkerRounds played 2,-,-3.79,-,28.0ft,0%
Bailey DavisRounds played 2,-,-3.82,58.3%,47.1ft,0%
Valery PlataRounds played 6,-,-3.90,-,27.0ft,0.90%
Gabby LemieuxRounds played 2,-,-4.15,36.1%,41.0ft,0%
Rosie DaviesRounds played 3,-,-4.37,-,30.5ft,18.5%
Olivia MehaffeyRounds played 2,-,-4.77,-,41.7ft,11.1%
Malak BouraedaRounds played 2,-,-5.10,30.6%,40.3ft,0%
Audrey RyuRounds played 1,-,-6.00,-,40.0ft,-
Avery ZweigRounds played 4,-,-6.58,-,30.0ft,1.40%
Allie KnightRounds played 2,-,-6.83,-,42.5ft,0%
Min Ji ParkRounds played 4,-,-,-,-,6.30%
Diksha DagarRounds played 7,-,-,-,-,7.90%
Ah-Reum HwangRounds played 4,-,-,-,-,0%
Chloe KoveleskyRounds played 2,-,-,-,-,5.60%
Maisie FillerRounds played 3,-,-,-,-,3.70%
MinYoung2 LeeRounds played 4,-,-,-,-,0%
Mami FukudaRounds played 4,-,-,-,-,0%
Ellie SlamaRounds played 2,-,-,-,-,5.60%
Brooke SeayRounds played 4,-,-,-,-,0%
Shoko SasakiRounds played 4,-,-,-,-,0%
Jess BakerRounds played 6,-,-,-,-,0.90%
Lorie KaneRounds played 2,-,-,2.80%,-,0%
Katie CranstonRounds played 2,-,-,-,-,2.80%
Cloe FrankishRounds played 3,-,-,-,-,3.70%
Gianna ClementeRounds played 6,-,-,-,-,0%
Miyu SatoRounds played 4,-,-,-,-,0%
Yuting ShiRounds played 4,-,-,-,-,0%
Monet ChunRounds played 2,-,-,-,-,0%
Serena AokiRounds played 4,-,-,-,-,0%
Caley McgintyRounds played 2,-,-,-,-,2.80%
Kana NagaiRounds played 4,-,-,-,-,0%
Mone InamiRounds played 4,-,-,-,-,0%
Linda WessbergRounds played 2,-,-,-,-,5.60%
Ashley Tait-WengertRounds played 2,-,-,-,-,0%
Juli InksterRounds played 2,-,-,58.3%,-,0%
Lauren ZaretskyRounds played 4,-,-,-,-,2.80%
Allie WhiteRounds played 2,-,-,-,-,5.60%
Teresa LuRounds played 2,-,-,-,-,0%
Ashley GrierRounds played 2,-,-,-,-,0%
Nozomi UetakeRounds played 4,-,-,-,-,0%
Kajal MistryRounds played 2,-,-,-,-,0%
Brigitte ThibaultRounds played 2,-,-,-,-,0%
Isabella FierroRounds played 2,-,-,-,-,0%
Minami KatsuRounds played 6,-,-,-,-,0.90%
Momoko OsatoRounds played 4,-,-,-,-,0%
Casandra AlexanderRounds played 4,-,-,-,-,13.9%
Saiki FujitaRounds played 6,-,-,-,-,0.90%
Agathe SauzonRounds played 5,-,-,-,-,19.1%
Ayaka WatanabeRounds played 4,-,-,-,-,0%
Kotone HoriRounds played 8,-,-,-,-,2.80%
Haruka MoritaRounds played 4,-,-,-,-,0%
Virginia Elena CartaRounds played 2,-,-,-,-,19.5%
Savannah De BockRounds played 2,-,-,-,-,0%
Miyu GotoRounds played 4,-,-,-,-,0%
Silvia CavalleriRounds played 4,-,-,52.8%,-,1.40%
Dori CarterRounds played 4,-,-,61.1%,-,0%
Chisato IwaiRounds played 4,-,-,-,-,0%
Seon Woo BaeRounds played 4,-,-,-,-,0%
Hannah MccookRounds played 2,-,-,-,-,5.60%
Lakareber AbeRounds played 2,-,-,-,-,5.60%
Olivia BenzinRounds played 2,-,-,-,-,0%
Erika KikuchiRounds played 4,-,-,-,-,0%
Ayako KimuraRounds played 4,-,-,-,-,0%
Shuri SakumaRounds played 4,-,-,-,-,0%
Mao NozawaRounds played 4,-,-,-,-,0%
Kana MikashimaRounds played 4,-,-,-,-,0%
Lina BoqvistRounds played 4,-,-,-,-,9.70%
Jennifer BoroczRounds played 2,-,-,-,-,0%
Sadena ParksRounds played 2,-,-,-,-,0%
Jessica KarlssonRounds played 7,-,-,-,-,23.0%
Beth AllenRounds played 2,-,-,-,-,5.60%
Rachel HeckRounds played 4,-,-,-,-,5.60%
Lucy LinRounds played 2,-,-,-,-,0%
Jiyai ShinRounds played 4,-,-,-,-,0%
Rachel KuehnRounds played 2,-,-,-,-,0%
Makensie TooleRounds played 2,-,-,-,-,0%
Vanessa ZhangRounds played 2,-,-,-,-,2.80%
Yeji KwonRounds played 2,-,-,-,-,0%
Whitney HillierRounds played 8,-,-,-,-,11.8%
Sakura YokomineRounds played 2,-,-,-,-,0%
Min-G KimRounds played 2,-,-,-,-,0%
Laura BeveridgeRounds played 2,-,-,-,-,19.5%
Maria HernandezRounds played 6,-,-,-,-,11.1%
Lucie MalchirandRounds played 2,-,-,-,-,11.1%
Alisa RodriguezRounds played 2,-,-,-,-,0%
Yuri YoshidaRounds played 4,-,-,-,-,0%
Nana SuganumaRounds played 4,-,-,-,-,0%
Pei-Ying TsaiRounds played 4,-,-,-,-,0%
Min Song HaRounds played 2,-,-,-,-,0%
Mi Jeong JeonRounds played 4,-,-,-,-,0%
Jenny Suh ThompsonRounds played 2,-,-,-,-,0%
Julia EngstromRounds played 4,-,-,-,-,9.70%
