PLAYER,ROLEXRANK,SCORING AVERAGE,SG:TOTAL,BIRDIES OR BETTER,PAR 3’s,PAR 4’s,PAR 5’s,Rounds Played,SG:TEE TO GREEN,SG:OFF THE TEE,SG:APPROACH,SG:AROUND THE GREEN,SG:PUTTING,FAIRWAYS HIT,DRIVING DISTANCE,GIR,AVG PROXIMITY (>50 YARDS),GUR,SCRAMBLING,PUTTS PER GIR
Morgane Metraux,132.0,72.0,-0.43,3.38,3.06,4.09,4.8,65.0,-0.59,-0.24,0.03,-0.39,0.07,72.2,252.0,67.9,28.6,5.3,51.7,1.8
Aditi Ashok,193.0,72.0,-0.36,2.92,3.03,4.1,4.74,79.0,-1.14,-1.12,-0.37,0.36,0.77,79.8,235.0,63.0,30.5,2.5,62.7,1.81
Dewi Weber,354.0,72.0,-0.33,3.13,3.1,4.09,4.77,58.0,0.56,0.42,0.19,-0.06,-0.88,72.6,262.0,70.1,24.7,5.0,54.3,1.86
Sarah Burnham,557.0,72.0,-0.71,3.0,3.25,4.09,4.67,2.0,-2.02,-1.94,0.3,-0.38,1.25,57.1,234.0,52.8,34.2,0.0,52.9,1.68
Bronte Law,95.0,72.0,-0.37,2.9,3.05,4.1,4.74,57.0,0.02,-0.27,0.11,0.17,-0.47,75.0,251.0,67.9,25.8,1.8,55.9,1.86
Gina Kim,271.0,72.1,-0.61,3.45,3.05,4.1,4.91,33.0,-0.17,0.07,-0.06,-0.18,-0.45,74.0,258.0,70.1,25.2,1.6,51.5,1.84
Amy Olson,183.0,72.1,-0.28,2.85,3.12,4.09,4.76,65.0,-0.36,0.09,-0.24,-0.21,0.03,69.8,260.0,68.2,29.0,4.9,50.3,1.83
Annie Park,179.0,72.1,-0.43,3.22,3.17,4.08,4.79,70.0,-0.24,0.22,0.08,-0.53,-0.33,76.3,258.0,68.9,26.7,3.5,46.4,1.83
Kaitlyn Papp Budde,446.0,72.1,-0.81,3.44,3.12,4.1,4.76,50.0,-1.8,-0.65,-1.21,0.06,0.94,68.2,252.0,64.6,31.0,4.1,53.3,1.79
Dottie Ardina,342.0,72.2,-0.05,3.0,3.15,4.06,4.85,23.0,-0.98,-0.34,-0.82,0.18,0.62,84.6,246.0,65.3,29.4,1.6,54.2,1.84
Dani Holmqvist,346.0,72.2,-1.05,2.4,3.2,4.06,4.82,7.0,0.32,0.59,-0.91,0.65,-1.43,74.3,267.0,66.7,31.3,2.2,60.0,1.85
Maude-Aimee Leblanc,146.0,72.2,-0.5,3.49,3.13,4.09,4.81,72.0,-0.7,-0.02,-0.36,-0.32,0.13,59.8,272.0,68.5,26.5,2.6,46.5,1.82
Jennifer Song,259.0,72.2,-0.96,3.27,3.07,4.12,4.81,66.0,-0.4,0.15,-0.61,0.05,-0.5,73.0,254.0,66.6,26.7,2.5,55.3,1.85
Haylee Harford,433.0,72.2,-0.75,2.83,3.15,4.1,4.71,46.0,-0.01,0.06,0.17,-0.23,-0.81,75.5,261.0,70.0,25.4,5.6,56.4,1.86
Alana Uriell,337.0,72.3,-0.66,3.3,3.2,4.12,4.68,55.0,-0.73,0.46,-1.03,-0.15,0.02,69.9,270.0,65.3,30.3,5.2,52.6,1.82
Sung Hyun Park,200.0,72.3,-0.5,3.35,3.1,4.11,4.77,55.0,-0.9,0.08,-0.55,-0.43,0.34,66.6,264.0,67.9,29.4,3.2,48.7,1.81
Gerina Mendoza,209.0,72.3,-0.6,2.92,3.05,4.11,4.86,49.0,-0.08,0.13,-0.11,-0.1,-0.48,76.0,262.0,66.7,30.6,2.7,55.0,1.85
Kristen Gillman,522.0,72.3,-0.81,2.83,3.27,4.12,4.63,20.0,-1.25,-0.21,-1.4,0.36,0.35,73.0,249.0,58.6,33.4,5.9,61.2,1.8
Su Oh,184.0,72.3,-0.81,3.3,3.12,4.14,4.7,63.0,-0.82,-0.4,-0.27,-0.15,-0.01,75.5,247.0,63.5,30.0,3.5,50.0,1.78
Paula Creamer,814.0,72.3,-1.08,3.36,3.02,4.14,4.8,14.0,0.06,-0.45,0.38,0.14,-1.09,75.5,253.0,69.8,28.2,1.9,44.7,1.84
Becky Morgan,401.0,72.3,0.06,3.5,3.35,4.07,4.52,6.0,-2.04,-1.25,-0.97,0.18,1.85,58.3,234.0,63.9,34.6,25.0,53.8,1.74
Celine Herbin,398.0,72.3,-0.81,2.86,3.05,4.13,4.82,33.0,0.22,0.36,-0.45,0.3,-1.12,71.2,264.0,67.6,27.6,9.4,53.3,1.84
Cristie Kerr,394.0,72.4,-0.94,3.21,3.08,4.09,4.89,33.0,-1.37,-0.68,-0.81,0.12,0.35,64.2,249.0,63.4,29.4,1.9,54.5,1.79
Linnea Johansson,416.0,72.4,-0.52,3.0,3.14,4.11,4.73,59.0,-0.86,-0.12,-0.64,-0.11,0.27,74.7,254.0,64.0,27.4,3.0,53.7,1.81
Lee-Anne Pace,168.0,72.4,-0.63,3.11,3.16,4.15,4.65,18.0,1.05,0.16,0.49,0.4,-1.8,72.6,253.0,70.4,26.4,12.1,46.9,1.85
Tiffany Chan,366.0,72.4,-0.99,3.23,3.18,4.15,4.72,39.0,-0.2,-0.15,-0.06,0.01,-0.86,74.1,255.0,63.3,26.4,6.3,42.9,1.83
Austin Ernst,153.0,72.4,-0.7,2.89,3.08,4.09,4.76,18.0,1.22,-0.45,1.18,0.49,-1.93,69.0,257.0,68.8,25.2,2.8,56.4,1.87
Olivia Cowan,174.0,72.5,-0.33,3.32,3.34,4.03,4.63,22.0,0.21,-0.16,0.4,-0.02,-0.69,82.9,239.0,69.2,25.2,7.6,45.9,1.83
Yaeeun Hong,310.0,72.5,-0.91,3.09,3.12,4.1,4.83,58.0,-0.32,-0.69,-0.73,1.1,-0.54,73.9,238.0,58.5,28.4,2.5,60.3,1.79
Giulia Molinaro,311.0,72.5,-0.99,3.02,3.1,4.13,4.77,58.0,-0.18,0.07,-0.23,0.02,-0.89,70.6,259.0,68.2,29.3,3.0,52.6,1.85
Jaye Marie Green,327.0,72.5,-0.85,3.14,3.06,4.15,4.84,36.0,-0.88,0.41,-0.63,-0.66,-0.01,82.7,258.0,68.2,27.8,3.9,48.1,1.86
Bianca Pagdanganan,324.0,72.5,-0.53,3.25,3.1,4.13,4.73,50.0,-1.11,0.63,-1.01,-0.72,0.53,64.9,277.0,66.0,30.4,5.2,48.6,1.84
Muni He,242.0,72.5,-0.72,2.73,3.12,4.12,4.84,51.0,-0.88,-0.05,-0.05,-0.78,0.12,79.1,252.0,65.1,25.7,3.3,52.9,1.85
Robynn Ree,509.0,72.6,-0.89,2.95,3.11,4.13,4.84,42.0,-0.28,-0.04,-0.14,-0.11,-0.54,72.9,255.0,67.0,26.5,5.0,51.8,1.87
Maddie Szeryk,567.0,72.6,-1.12,2.62,3.09,4.16,4.8,38.0,-0.82,-0.42,-0.28,-0.12,-0.38,75.7,248.0,62.4,25.6,2.0,55.7,1.84
Ana Belac,428.0,72.6,-0.98,2.86,3.15,4.11,4.81,52.0,-0.95,-0.15,-0.83,0.03,-0.11,74.0,255.0,64.7,26.6,3.2,55.7,1.84
Anne Van Dam,255.0,72.7,-0.78,3.83,3.16,4.08,4.8,28.0,-0.63,0.46,-0.73,-0.36,-0.23,56.0,280.0,63.2,29.5,8.4,49.7,1.76
Katherine Kirk,404.0,72.7,-0.95,3.04,3.16,4.15,4.7,28.0,-0.99,-0.43,-0.79,0.23,-0.02,67.5,259.0,62.3,31.4,2.1,54.6,1.82
Weiwei Zhang,434.0,72.7,-1.4,3.27,3.02,4.1,4.85,24.0,0.22,0.48,-0.25,-0.01,-1.6,73.6,269.0,67.4,27.6,4.4,47.3,1.81
Jessica Peng,566.0,72.7,-1.05,2.36,3.13,4.07,4.86,11.0,0.7,0.12,-0.04,0.63,-1.31,77.3,254.0,66.7,27.1,1.5,60.6,1.92
Mariah Stackhouse,658.0,72.8,-1.26,2.9,2.96,4.16,4.92,24.0,-0.47,-0.46,0.13,-0.14,-0.72,70.4,246.0,65.0,32.1,6.6,57.1,1.86
Rachel Rohanna,473.0,72.8,-1.06,2.77,3.09,4.1,4.88,51.0,-0.71,0.28,-1.02,0.03,-0.41,64.5,271.0,64.8,28.5,3.3,50.7,1.84
Katherine Perry-Hamski,533.0,72.8,-1.05,3.15,3.2,4.11,4.79,49.0,-1.38,-0.12,-0.98,-0.28,0.28,65.8,263.0,63.0,30.6,4.0,53.4,1.82
In Kyung Kim,319.0,72.8,-0.8,2.83,3.07,4.17,4.82,40.0,-1.24,-0.58,-0.7,0.04,0.35,76.1,242.0,62.8,30.0,1.5,48.9,1.84
Cydney Clanton,403.0,72.9,-1.12,3.18,3.11,4.15,4.75,52.0,-0.32,0.07,-0.07,-0.31,-0.85,62.9,267.0,68.3,27.3,7.5,46.0,1.84
Sarah Jane Smith,437.0,72.9,-1.12,3.11,3.17,4.16,4.76,31.0,-0.33,-0.24,-0.07,-0.02,-0.84,71.5,249.0,57.0,24.4,1.8,52.6,1.79
Brooke Matthews,832.0,72.9,-1.27,2.73,3.1,4.17,4.82,38.0,-1.51,0.55,-2.13,0.08,0.35,63.1,275.0,60.8,35.2,5.7,56.7,1.87
Luna Sobron Galmes,450.0,72.9,-1.07,3.23,3.19,4.19,4.63,15.0,-0.61,-0.34,-0.34,0.07,-0.92,63.2,269.0,63.7,27.9,10.1,45.9,1.8
Janie Jackson,464.0,72.9,-1.2,3.07,3.2,4.13,4.72,57.0,-0.51,0.09,0.24,-0.83,-0.76,67.1,268.0,66.0,26.8,5.2,44.5,1.83
Lauren Hartlage,624.0,73.0,-1.33,2.77,3.24,4.13,4.8,44.0,-0.29,0.62,-0.72,-0.19,-1.05,73.9,259.0,65.1,28.3,5.1,48.2,1.86
Sophia Popov,245.0,73.0,-0.95,3.19,3.11,4.17,4.78,49.0,-1.34,-0.32,-0.79,-0.23,0.28,69.1,257.0,64.7,31.9,2.1,48.7,1.82
Na Yeon Choi,388.0,73.0,-1.73,2.81,3.13,4.18,4.77,44.0,-0.3,-1.51,0.9,0.31,-1.49,65.7,244.0,66.1,23.4,2.3,46.9,1.85
Agathe Laisne,379.0,73.0,-1.36,2.78,3.22,4.13,4.8,41.0,-1.48,-0.13,-1.03,-0.31,0.03,73.4,255.0,64.9,31.9,3.7,50.6,1.85
Christina Kim,402.0,73.0,-1.37,2.71,3.15,4.16,4.8,47.0,-0.65,-0.35,-0.69,0.39,-0.78,75.6,248.0,64.3,26.6,2.8,52.2,1.84
Casey Danielson,506.0,73.0,-1.29,2.77,3.14,4.17,4.77,43.0,-0.37,0.04,-0.3,-0.11,-0.97,77.0,255.0,70.2,27.7,4.3,52.2,1.89
Yu-Sang Hou,531.0,73.0,-1.4,2.86,3.07,4.2,4.76,30.0,-1.04,0.21,-0.86,-0.39,-0.39,81.5,254.0,62.7,33.8,2.4,50.0,1.82
Pannarat Thanapolboonyaras,540.0,73.0,-1.29,2.7,3.13,4.12,4.75,12.0,0.53,0.1,-0.46,0.9,-2.34,69.3,258.0,63.3,27.7,5.9,60.6,1.91
Karrie Webb,790.0,73.0,-0.74,2.17,3.04,4.19,4.77,10.0,-0.67,-0.36,-1.04,0.73,-0.08,75.0,241.0,64.8,40.7,0.0,57.9,1.89
Allison Emrey,378.0,73.0,-1.25,2.71,3.14,4.15,4.87,54.0,-1.79,-0.61,-1.1,-0.07,0.44,70.6,247.0,59.7,32.5,3.6,49.6,1.82
Sanna Nuutinen,281.0,73.0,-1.47,2.89,3.18,4.19,4.74,47.0,-0.98,-0.38,-0.31,-0.29,-0.2,66.2,257.0,65.6,27.1,4.7,43.3,1.83
Mel Reid,220.0,73.1,-1.37,2.4,3.17,4.14,4.81,49.0,-1.06,0.08,-0.92,-0.22,-0.44,66.8,259.0,64.3,30.3,3.1,56.3,1.9
Jenny Coleman,325.0,73.1,-1.72,3.12,3.18,4.16,4.79,63.0,-0.41,-0.37,0.4,-0.44,-1.37,74.1,254.0,68.1,26.7,3.0,48.3,1.87
Angela Stanford,312.0,73.1,-1.21,2.74,3.14,4.14,4.88,44.0,-1.5,-0.18,-1.27,-0.05,0.24,69.5,256.0,61.5,31.6,6.3,46.4,1.84
Ssu-Chia Cheng,432.0,73.1,-0.95,1.86,3.04,4.16,4.92,7.0,-0.76,-1.42,0.29,0.36,-0.23,64.3,240.0,57.1,28.9,0.8,63.0,1.85
Nicole Broch Estrup,279.0,73.2,-0.73,3.5,3.53,4.13,4.38,14.0,-1.7,-0.04,-1.19,-0.47,0.8,57.7,260.0,62.5,32.9,22.6,46.9,1.81
Vicky Hurst,843.0,73.2,-1.93,3.5,3.18,4.17,4.73,10.0,-2.04,-1.1,-0.73,-0.21,0.31,57.1,251.0,58.3,28.9,4.3,40.0,1.71
Kris Tamulis,1295.0,73.3,-2.05,1.25,2.88,4.29,4.96,6.0,-2.43,-0.16,-1.55,-0.72,-0.36,74.0,239.0,66.7,34.3,5.0,54.2,1.92
Hee Young Park,359.0,73.3,-1.38,3.12,3.08,4.22,4.72,26.0,-1.05,-0.53,-0.41,-0.1,-0.36,68.7,252.0,63.0,29.0,2.4,46.8,1.84
Katie Yoo,,73.4,-1.63,3.08,3.06,4.15,4.73,12.0,-1.57,-0.59,-0.15,-0.83,0.62,70.2,246.0,61.6,26.5,4.3,48.2,1.78
Brianna Do,465.0,73.5,-1.35,2.46,3.24,4.16,4.82,30.0,-1.69,-0.61,-0.62,-0.33,0.14,75.4,244.0,62.5,30.8,2.7,50.8,1.85
Cindy Lacrosse,1145.0,73.5,-2.14,3.75,2.94,4.28,4.75,6.0,-3.38,0.17,-3.31,-0.24,1.14,58.9,255.0,50.0,39.9,0.0,55.6,1.58
Meaghan Francella,,73.5,-0.8,2.75,3.0,4.21,4.93,6.0,-1.97,-0.65,-1.05,-0.26,1.7,76.8,234.0,56.9,30.7,0.0,71.0,1.93
Jiwon Jeon,556.0,73.6,-1.55,2.5,3.19,4.13,4.97,16.0,-1.37,-0.02,-1.24,-0.1,0.09,81.7,245.0,61.1,29.4,0.7,50.0,1.84
Nuria Iturrioz,340.0,73.6,-1.91,3.0,3.31,4.16,4.75,22.0,-1.51,-0.42,-0.4,-0.7,-0.48,59.9,259.0,62.6,28.6,10.4,45.9,1.83
Marissa Steen,356.0,73.8,-1.49,2.24,3.15,4.14,4.94,27.0,-0.69,-0.57,-0.21,0.08,-0.89,83.0,241.0,63.3,29.7,0.9,43.0,1.93
Amelia Lewis,920.0,73.9,-1.93,2.42,3.21,4.19,4.91,16.0,-2.32,-0.13,-1.77,-0.42,0.3,71.1,258.0,63.0,33.3,5.9,45.0,1.84
Liz Nagel,589.0,73.9,-1.92,3.12,3.26,4.24,4.65,27.0,-1.93,-0.09,-0.85,-0.99,-0.08,64.4,258.0,64.0,29.0,8.6,40.1,1.84
Pavarisa Yoktuan,413.0,74.0,-2.6,1.75,3.25,4.12,5.07,8.0,-0.64,-0.15,-1.07,0.58,-1.7,75.0,261.0,65.3,30.8,0.0,44.0,1.89
Vivian Hou,647.0,74.1,-2.54,2.22,3.13,4.22,4.93,25.0,-1.2,-0.39,-0.71,-0.11,-1.4,83.7,239.0,65.0,27.9,0.5,43.4,1.9
Mariajo Uribe,940.0,74.1,-2.15,2.5,3.35,4.18,4.79,20.0,-1.43,-0.22,-0.74,-0.47,-0.84,63.2,255.0,61.5,32.5,8.1,45.0,1.9
Savannah Vilaubi,742.0,74.1,-2.17,2.23,3.21,4.22,4.75,34.0,-1.38,-0.38,-0.97,-0.03,-0.84,65.0,262.0,60.6,31.5,6.0,49.8,1.88
Maria Mcbride,,74.2,-2.83,3.33,3.13,4.22,4.79,6.0,-2.3,-0.63,-1.22,-0.45,-0.5,60.7,271.0,58.3,30.4,20.0,42.2,1.85
Fatima Fernandez Cano,419.0,74.2,-2.56,2.75,3.31,4.24,4.68,34.0,-1.86,-0.55,-0.94,-0.37,-0.78,56.2,261.0,63.5,28.7,4.3,43.8,1.86
Jillian Hollis,443.0,74.2,-1.87,2.3,3.04,4.17,5.31,14.0,-0.82,0.37,-1.03,-0.15,-0.38,74.3,244.0,62.2,33.1,0.0,42.6,1.96
Jing Yan,748.0,74.2,-2.37,2.36,3.23,4.18,4.99,16.0,-1.95,-0.3,-1.37,-0.28,-0.68,60.8,256.0,56.3,30.8,9.2,52.7,1.84
Sydnee Michaels,859.0,74.3,-2.82,2.7,3.26,4.2,4.83,14.0,-2.12,0.04,-1.9,-0.25,-0.51,73.2,240.0,55.0,30.3,2.6,46.9,1.83
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-2.11,-0.5,-1.29,-0.32,-0.11,71.4,250.0,75.0,27.6,0.0,46.3,1.87
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-2.11,-0.5,-1.29,-0.32,-0.11,71.4,250.0,75.0,27.6,0.0,,
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-2.11,-0.5,-1.29,-0.32,-0.11,71.4,250.0,58.6,30.5,1.7,46.3,1.87
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-2.11,-0.5,-1.29,-0.32,-0.11,71.4,250.0,58.6,30.5,1.7,,
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-2.11,-0.5,-1.29,-0.32,-0.11,100.0,227.0,75.0,27.6,0.0,46.3,1.87
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-2.11,-0.5,-1.29,-0.32,-0.11,100.0,227.0,75.0,27.6,0.0,,
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-2.11,-0.5,-1.29,-0.32,-0.11,100.0,227.0,58.6,30.5,1.7,46.3,1.87
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-2.11,-0.5,-1.29,-0.32,-0.11,100.0,227.0,58.6,30.5,1.7,,
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-0.04,-0.57,1.14,-0.61,-0.65,71.4,250.0,75.0,27.6,0.0,46.3,1.87
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-0.04,-0.57,1.14,-0.61,-0.65,71.4,250.0,75.0,27.6,0.0,,
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-0.04,-0.57,1.14,-0.61,-0.65,71.4,250.0,58.6,30.5,1.7,46.3,1.87
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-0.04,-0.57,1.14,-0.61,-0.65,71.4,250.0,58.6,30.5,1.7,,
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-0.04,-0.57,1.14,-0.61,-0.65,100.0,227.0,75.0,27.6,0.0,46.3,1.87
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-0.04,-0.57,1.14,-0.61,-0.65,100.0,227.0,75.0,27.6,0.0,,
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-0.04,-0.57,1.14,-0.61,-0.65,100.0,227.0,58.6,30.5,1.7,46.3,1.87
Lauren Kim,643.0,74.3,-2.19,2.28,3.14,4.32,4.7,22.0,-0.04,-0.57,1.14,-0.61,-0.65,100.0,227.0,58.6,30.5,1.7,,
Kristy Mcpherson,862.0,74.3,-3.1,2.17,3.09,4.33,4.93,10.0,-3.05,-0.7,-1.81,-0.55,-0.26,60.9,240.0,49.1,29.0,0.0,50.9,1.79
Mirim Lee,370.0,74.5,-2.03,2.35,3.09,4.29,4.86,26.0,-0.87,-0.69,0.04,-0.22,-1.4,66.6,246.0,63.5,30.5,1.7,43.9,1.89
Catriona Matthew,634.0,74.5,-1.62,2.5,2.63,4.5,4.83,2.0,6.76,-2.45,8.57,0.65,0.28,50.0,237.0,63.9,,0.0,30.8,1.79
Youngin Chun,932.0,74.6,-2.29,2.44,3.11,4.25,5.0,12.0,-2.25,0.13,-0.85,-1.53,0.07,77.8,249.0,57.4,34.2,2.5,44.9,1.84
Haley Moore,893.0,74.8,-3.13,1.75,3.17,4.34,4.82,6.0,-3.26,-0.95,-2.96,0.65,-0.02,46.4,257.0,51.4,36.7,11.4,54.3,1.89
Min Seo Kwak,898.0,75.5,-4.27,2.33,3.38,4.26,4.93,8.0,-4.28,-0.66,-2.02,-1.6,0.36,67.2,232.0,53.7,35.5,0.9,42.0,1.87
Sandra Gal,1157.0,75.5,-1.94,1.0,3.13,4.3,5.0,2.0,-2.19,-0.23,-1.88,-0.08,0.65,78.6,241.0,52.8,31.3,0.0,64.7,1.92
Michelle Wie West,740.0,75.8,-3.38,2.0,3.22,4.27,5.0,6.0,-2.01,-0.5,-1.97,0.47,-1.4,73.8,240.0,54.6,38.9,0.0,34.7,1.92
Ashli Bunch,,76.0,-4.06,1.5,3.5,4.25,4.88,2.0,-3.92,-1.1,-2.54,-0.28,-0.36,60.7,244.0,36.1,38.3,0.0,60.9,1.82
Ilhee Lee,1406.0,76.7,-4.49,1.83,3.33,4.34,5.0,6.0,-1.1,-0.21,-0.26,-0.7,-0.67,64.3,257.0,60.2,35.8,0.0,30.2,1.98
Laura Davies,587.0,76.8,2.2,2.38,3.44,4.36,4.84,8.0,-2.42,-1.81,-0.66,0.05,-2.77,49.1,254.0,52.8,28.4,3.5,39.7,1.87
Beatriz Recari,1287.0,77.0,-4.75,1.5,3.13,4.5,4.88,2.0,-5.5,-2.13,-1.28,-2.1,0.78,53.6,228.0,58.3,35.5,0.0,33.3,1.91
Annika Sorenstam,,77.5,-4.2,1.0,3.38,4.41,5.17,6.0,-3.53,-1.69,-0.93,-0.92,-0.66,71.4,232.0,55.6,39.6,0.0,29.1,2.0
