PLAYER,ROLEXRANK,SG:TOTAL,SG:TEE TO GREEN,SG:OFF THE TEE,SG:APPROACH,SG:AROUND THE GREEN,SG:PUTTING
Youngin ChunRounds played 12,#932,-2.29,-2.25,0.13,-0.85,-1.53,0.07
Mariajo UribeRounds played 20,#940,-2.15,-1.43,-0.22,-0.74,-0.47,-0.84
Cindy LacrosseRounds played 6,#1145,-2.14,-3.38,0.17,-3.31,-0.24,1.14
Sandra GalRounds played 2,#1157,-1.94,-2.19,-0.23,-1.88,-0.08,0.65
Beatriz RecariRounds played 2,#1287,-4.75,-5.50,-2.13,-1.28,-2.10,0.78
Kris TamulisRounds played 6,#1295,-2.05,-2.43,-0.16,-1.55,-0.72,-0.36
Ilhee LeeRounds played 6,#1406,-4.49,-1.10,-0.21,-0.26,-0.70,-0.67
Min Ji ParkRounds played 4,-,0.94,-,-,-,-,-
Kenzie WrightRounds played 2,-,-3.73,-1.71,-0.42,-0.47,-0.82,-2.15
Sarah RheeRounds played 4,-,-0.89,-0.55,-0.16,-0.27,-0.12,-0.40
Sophie WittRounds played 5,-,-0.96,0.26,0.02,0.35,-0.10,-1.16
Diksha DagarRounds played 7,-,-1.44,-,-,-,-,-
Arpichaya YubolRounds played 4,-,-2.29,-1.37,-0.02,-1.69,0.34,-1.26
Kathleen ScavoRounds played 2,-,-1.70,-1.92,-1.33,-0.41,-0.18,0.23
Laura FuenfstueckRounds played 2,-,-5.18,-4.64,0.08,-2.42,-2.31,-0.83
Louise DuncanRounds played 8,-,-0.90,-0.13,0.23,0.24,-0.60,-0.72
Mizuki HashimotoRounds played 4,-,-2.61,-3.21,-0.07,-1.64,-1.50,0.58
Anne-Lise CaudalRounds played 2,-,-2.18,-2.13,-1.17,-0.58,-0.39,-0.19
Ah-Reum HwangRounds played 4,-,0.66,-,-,-,-,-
Lilly ThomasRounds played 2,-,-6.23,-1.90,-1.64,0.42,-0.68,0.47
Ingrid LindbladRounds played 6,-,1.21,0.07,0.48,-0.27,-0.15,1.05
Bailey ShoemakerRounds played 11,-,0.00,-0.69,-0.54,-0.28,0.14,1.41
Megan OslandRounds played 4,-,-5.40,-4.27,-1.25,-3.09,0.07,-1.20
Anna DavisRounds played 24,-,-0.91,-0.93,-0.42,0.24,-0.74,-1.18
Chloe KoveleskyRounds played 2,-,-3.56,-,-,-,-,-
Mariel GaldianoRounds played 2,-,-0.70,-2.74,-0.06,-2.56,-0.12,2.05
Maisie FillerRounds played 3,-,0.23,-,-,-,-,-
Bohyun ParkRounds played 4,-,-0.26,0.55,0.16,0.12,0.27,-0.24
Kennedy SwannRounds played 2,-,-3.56,-2.72,-0.58,-1.01,-1.13,-0.86
MinYoung2 LeeRounds played 4,-,0.15,-,-,-,-,-
Meghan MaclarenRounds played 10,-,-0.21,-0.88,-0.17,-0.58,-0.13,0.58
Mami FukudaRounds played 4,-,-1.34,-,-,-,-,-
Ellie SlamaRounds played 2,-,-0.56,-,-,-,-,-
Leonie HarmRounds played 11,-,0.86,-0.26,-0.42,0.33,-0.17,0.87
Brooke SeayRounds played 4,-,-0.58,-,-,-,-,-
Ami GianchandaniRounds played 2,-,0.30,-0.80,0.80,-1.09,-0.51,1.11
Shoko SasakiRounds played 4,-,-0.10,-,-,-,-,-
Auston KimRounds played 2,-,-0.20,-0.01,0.96,-1.90,0.93,-0.18
Jess BakerRounds played 6,-,-3.09,-,-,-,-,-
Jung Min HongRounds played 2,-,-0.12,-0.24,-0.62,-1.09,1.47,0.19
Olivia MehaffeyRounds played 2,-,-4.18,-7.33,-0.56,-4.77,-2.01,3.01
Allie KnightRounds played 2,-,-9.39,-10.1,-1.70,-6.83,-1.55,0.11
Avery ZweigRounds played 4,-,-8.40,-11.4,-3.84,-6.58,-1.00,-0.00
Lydia HallRounds played 10,-,-1.85,-2.11,-1.29,-0.93,0.10,0.17
Sara ImRounds played 2,-,-0.70,-0.75,0.13,-0.59,-0.29,0.06
Smila SoenderbyRounds played 2,-,-0.70,-1.05,0.01,0.15,-1.22,0.36
Alyaa AbdulghanyRounds played 2,-,-4.20,-2.89,-2.15,-0.34,-0.40,-1.30
Lauren KimRounds played 2,-,-0.70,-0.04,-0.57,1.14,-0.61,-0.65
Wenbo LiuRounds played 2,-,-2.70,-0.77,-1.55,1.37,-0.59,-1.92
Yuri OnishiRounds played 2,-,-2.70,-1.59,-0.21,-0.35,-1.02,-1.10
Hannah BurkeRounds played 2,-,-3.68,-4.00,-1.18,-2.92,0.10,0.43
Taylor CollinsRounds played 2,-,-4.75,-2.80,-0.65,-2.14,-0.01,-1.92
Ashli BunchRounds played 2,-,-4.06,-3.92,-1.10,-2.54,-0.28,-0.36
Lorie KaneRounds played 2,-,-14.5,-,-,-,-,-
Katie CranstonRounds played 2,-,-5.04,-,-,-,-,-
Nika ItoRounds played 2,-,-5.70,-5.20,-1.20,-3.45,-0.55,-0.32
Cloe FrankishRounds played 3,-,-7.82,-,-,-,-,-
Noora KomulainenRounds played 4,-,-3.49,-2.20,0.61,-2.70,-0.11,-1.21
Gianna ClementeRounds played 6,-,-1.58,-,-,-,-,-
Lauren GomezRounds played 2,-,-2.70,-3.05,-1.19,-1.01,-0.85,0.36
Ursula WikstromRounds played 7,-,-1.01,1.95,0.26,1.55,0.14,-1.87
Miyu SatoRounds played 4,-,0.15,-,-,-,-,-
Yuting ShiRounds played 4,-,0.66,-,-,-,-,-
Xiaowen YinRounds played 6,-,-2.34,1.02,0.18,0.89,-0.05,-4.00
Laura SlumanRounds played 4,-,-0.75,-1.05,-1.78,0.04,0.69,0.09
Cara GainerRounds played 4,-,1.74,1.02,1.40,-0.03,-0.34,0.55
Monet ChunRounds played 2,-,-4.04,-,-,-,-,-
Saki BabaRounds played 4,-,0.38,-0.00,0.59,-0.67,0.08,0.38
Annabel DimmockRounds played 4,-,-1.74,-0.50,-0.23,-0.64,0.36,-1.76
Selena CostabileRounds played 2,-,-0.54,-0.59,-0.96,0.20,0.17,-0.30
Karolin LampertRounds played 5,-,-1.76,-5.74,-2.18,-2.45,-1.11,-0.66
Georgia ObohRounds played 2,-,-3.71,-4.06,-0.09,-2.77,-1.20,0.29
Nicole GarciaRounds played 6,-,-1.23,-1.19,-0.03,-0.48,-0.68,-0.31
Kristyna NapoleaovaRounds played 2,-,-6.68,-5.29,-1.10,-3.34,-0.85,-1.54
Rina TatematsuRounds played 4,-,-3.08,-,-1.01,-1.73,-,-
Savannah GrewalRounds played 2,-,-4.54,-1.62,0.23,-1.01,-0.85,-3.27
Serena AokiRounds played 4,-,-1.34,-,-,-,-,-
Catherine ParkRounds played 2,-,-0.20,-1.40,0.86,-0.95,-1.30,1.21
Lucy LiRounds played 26,-,1.15,1.23,-0.01,0.80,0.44,-0.16
Natasha Andrea OonRounds played 10,-,-0.52,-0.41,-0.78,0.27,0.10,-1.32
Emma GrechiRounds played 6,-,-0.42,0.46,-0.56,1.09,-0.07,-0.94
Tiia KoivistoRounds played 10,-,-0.50,0.26,0.08,-0.27,0.45,-1.01
Caley McgintyRounds played 2,-,-2.62,-,-,-,-,-
Kana NagaiRounds played 4,-,2.90,-,-,-,-,-
Rebecca Lee-BenthamRounds played 4,-,-1.23,-1.48,-0.56,-0.72,-0.20,-0.11
Bailey DavisRounds played 2,-,-7.20,-4.57,0.76,-3.82,-1.51,-2.62
Julianne AlvarezRounds played 2,-,-4.20,-3.19,-1.97,-0.22,-1.00,-1.00
Mone InamiRounds played 4,-,0.66,-,-,-,-,-
Britney YadaRounds played 2,-,-0.20,-0.78,-0.36,0.15,-0.58,0.59
Mayu HamadaRounds played 2,-,-0.70,-0.31,-0.09,0.42,-0.65,-0.38
Linda WessbergRounds played 2,-,-4.30,-,-,-,-,-
Chloe WilliamsRounds played 6,-,-1.76,1.00,1.61,-0.46,-0.14,-2.21
Ashley Tait-WengertRounds played 2,-,-3.89,-,-,-,-,-
Juli InksterRounds played 2,-,-5.80,-,-,-,-,-
Lauren ZaretskyRounds played 4,-,-0.98,-,-,-,-,-
Allie WhiteRounds played 2,-,-4.06,-,-,-,-,-
Prima ThammaraksRounds played 4,-,-3.83,-1.35,-0.61,-1.05,0.32,-2.50
Teresa LuRounds played 2,-,-2.44,-,-,-,-,-
Melanie GreenRounds played 2,-,-3.70,0.46,-0.25,0.43,0.28,-4.14
Manon De RoeyRounds played 10,-,-1.71,-2.65,-0.00,-2.57,-0.07,-0.29
Sock Hwee KohRounds played 4,-,-4.74,-3.31,-0.60,-1.96,-0.75,-1.43
Alice HewsonRounds played 8,-,0.52,0.27,-0.51,0.79,-0.00,0.03
Billie-Jo SmithRounds played 2,-,-1.18,-1.34,-0.60,1.08,-1.82,-0.13
Grace KimRounds played 4,-,-0.62,-0.11,-0.18,0.85,-0.78,-0.51
Minsol KimRounds played 6,-,0.29,2.90,0.71,1.93,0.26,-4.10
Hayley DavisRounds played 5,-,-1.49,-0.41,-0.37,-0.34,0.30,-1.32
Marianne SkarpnordRounds played 8,-,-2.05,-1.28,-0.40,-0.62,-0.27,-1.08
Ashley GrierRounds played 2,-,-10.9,-,-,-,-,-
Nozomi UetakeRounds played 4,-,-0.10,-,-,-,-,-
Tvesa MalikRounds played 4,-,-3.49,-2.12,-2.02,-0.41,0.32,-2.13
Sakura KoiwaiRounds played 8,-,1.52,0.32,-0.10,0.34,0.08,1.57
Soo Bin JooRounds played 2,-,-1.20,-1.28,0.64,-1.63,-0.28,0.09
Kajal MistryRounds played 2,-,-2.73,-,-,-,-,-
Hyunjo YooRounds played 4,-,-1.97,2.25,0.94,2.07,-0.76,-2.08
Miyu YamashitaRounds played 8,-,2.18,0.04,0.63,-0.59,0.01,2.25
Gurleen KaurRounds played 4,-,-3.13,-1.83,0.00,-1.62,-0.21,0.99
Brigitte ThibaultRounds played 2,-,-4.04,-,-,-,-,-
Isabella FierroRounds played 2,-,-0.83,-,-,-,-,-
Minami KatsuRounds played 6,-,0.06,-,0.17,-,-,-
Momoko OsatoRounds played 4,-,-1.09,-,-,-,-,-
Casandra AlexanderRounds played 4,-,-0.40,-,-,-,-,-
So Young LeeRounds played 2,-,-2.44,0.18,-0.42,1.02,-0.43,-1.01
Malak BouraedaRounds played 2,-,-6.70,-5.45,0.21,-5.10,-0.57,-1.24
Saiki FujitaRounds played 6,-,-1.77,-,-,-,-,-
Hee Jeong LimRounds played 6,-,-0.26,-0.27,0.10,-0.32,-0.06,1.31
Jensen CastleRounds played 4,-,-2.15,-0.07,0.17,0.59,-0.84,-1.12
Karissa KilbyRounds played 2,-,-4.20,-2.10,0.30,-1.75,-0.64,-2.09
Carmen AlonsoRounds played 8,-,-1.72,-0.65,0.90,-0.29,-1.26,-1.39
Alexandra ForsterlingRounds played 2,-,-5.20,-3.30,0.14,-1.33,-2.11,-1.89
Alexa PanoRounds played 2,-,-1.70,-1.58,-0.18,-0.38,-1.02,0.20
Gabby LemieuxRounds played 2,-,-8.20,-6.69,-1.39,-4.15,-1.14,-1.50
Agathe SauzonRounds played 5,-,-0.76,-,-,-,-,-
Ayaka WatanabeRounds played 4,-,-0.10,-,-,-,-,-
Kotone HoriRounds played 8,-,0.68,-,-,-,-,-
Stephanie Connelly EiswerthRounds played 2,-,-3.39,-3.41,-1.76,-2.08,0.42,-0.26
Yuna NishimuraRounds played 12,-,1.48,0.79,0.06,1.17,-0.44,0.83
Maria McbrideRounds played 6,-,-2.83,-2.30,-0.63,-1.22,-0.45,-0.50
Haruka MoritaRounds played 4,-,1.16,-,-,-,-,-
Virginia Elena CartaRounds played 2,-,-1.18,-,-,-,-,-
Karen KimRounds played 2,-,-2.70,-2.49,-0.97,-1.36,-0.15,-0.20
Jeonghyun LeeRounds played 2,-,-4.70,-2.81,0.10,-1.06,-1.85,-1.88
Sandra ChangkijaRounds played 2,-,-0.39,-4.26,0.19,-2.72,-1.73,1.29
Rosie DaviesRounds played 3,-,-3.40,-3.79,-1.23,-4.37,1.82,0.66
Savannah De BockRounds played 2,-,-3.12,-,-,-,-,-
Miyu GotoRounds played 4,-,0.41,-,-,-,-,-
Meaghan FrancellaRounds played 6,-,-0.80,-1.97,-0.65,-1.05,-0.26,1.70
Silvia CavalleriRounds played 4,-,-2.88,-,-,-,-,-
Nishtha MadanRounds played 2,-,-6.25,-4.63,-0.22,-2.35,-2.06,-1.59
Dori CarterRounds played 4,-,-2.06,-,-,-,-,-
Michelle LiuRounds played 2,-,-4.04,-0.33,-0.66,-0.74,1.08,-2.62
Jana MelichovaRounds played 6,-,-3.20,-4.15,-0.07,-1.85,-2.24,-3.76
Chisato IwaiRounds played 4,-,0.15,-,-,-,-,-
Seon Woo BaeRounds played 4,-,-1.09,-,-,-,-,-
Felicity JohnsonRounds played 4,-,-1.99,-2.86,-0.13,0.95,-3.68,0.60
Valerie TanguayRounds played 2,-,-3.54,-4.73,-0.90,-2.33,-1.50,0.84
Hannah MccookRounds played 2,-,-3.30,-,-,-,-,-
Gabriella CowleyRounds played 4,-,-1.49,-0.96,0.96,-1.93,0.01,-1.14
Ana Pelaez TrivinoRounds played 8,-,-0.72,-0.30,-0.19,0.14,0.31,-0.62
Lakareber AbeRounds played 2,-,-0.90,-,-,-,-,-
Krista BakkerRounds played 2,-,-9.30,-6.81,-1.62,-3.79,-1.39,-1.31
Olivia BenzinRounds played 2,-,-1.06,-,-,-,-,-
Erika KikuchiRounds played 4,-,-0.59,-,-,-,-,-
Becky BrewertonRounds played 8,-,-1.72,-1.41,-0.35,-0.54,-0.53,-0.62
Chanettee WannasaenRounds played 10,-,-0.47,-0.50,0.20,-0.78,0.07,-0.15
Emma McmylerRounds played 4,-,-2.59,-3.30,0.03,-1.86,-1.47,-0.89
Beth WuRounds played 2,-,0.30,0.24,-1.07,1.05,0.26,0.07
Ayako KimuraRounds played 4,-,-1.09,-,-,-,-,-
Michelle ZhangRounds played 4,-,-2.31,-2.44,-0.38,0.47,-2.54,0.25
Christine WolfRounds played 4,-,-1.49,-1.34,-0.78,-1.57,1.01,-1.50
So Mi LeeRounds played 8,-,1.52,1.11,0.64,0.64,-0.17,-0.54
Liz YoungRounds played 8,-,1.02,-1.79,-0.70,-0.20,-0.89,-0.13
Johanna GustavssonRounds played 10,-,-0.26,-0.35,0.06,-0.07,-0.34,-0.26
Shuri SakumaRounds played 4,-,0.66,-,-,-,-,-
Mao NozawaRounds played 4,-,0.91,-,-,-,-,-
Kana MikashimaRounds played 4,-,0.41,-,-,-,-,-
Lina BoqvistRounds played 4,-,-0.99,-,-,-,-,-
Sarah-Eve RheaumeRounds played 2,-,-0.04,-1.01,2.16,-1.55,-1.62,-0.56
Michele ThomsonRounds played 6,-,-3.20,-1.37,-1.35,-0.23,0.21,-1.75
Jennifer BoroczRounds played 2,-,-11.4,-,-,-,-,-
Sadena ParksRounds played 2,-,-2.93,-,-,-,-,-
Jaravee BoonchantRounds played 4,-,-0.07,-1.11,-0.52,-0.48,-0.12,1.01
Valery PlataRounds played 6,-,-2.22,-4.95,-1.16,-3.90,0.11,-1.88
Blakesly BrockRounds played 2,-,-7.20,-5.83,-2.50,-3.13,-0.19,-1.36
Ai SuzukiRounds played 5,-,-0.61,-5.95,-1.39,-2.95,-1.61,1.31
Audrey RyuRounds played 1,-,-9.04,-8.89,-1.78,-6.00,-1.12,-0.12
Lauren MillerRounds played 2,-,-5.20,-5.94,-1.70,-3.49,-0.76,0.76
Mao SaigoRounds played 18,-,1.04,0.46,0,0.97,-0.51,0.87
Jessica KarlssonRounds played 7,-,-0.06,-,-,-,-,-
Beth AllenRounds played 2,-,-5.80,-,-,-,-,-
Trichat CheenglabRounds played 2,-,-1.80,0.18,-1.23,1.97,-0.56,-1.26
Rachel HeckRounds played 4,-,-0.81,-,-,-,-,-
Kim MetrauxRounds played 4,-,-3.49,-4.74,-0.65,-2.52,-1.57,0.84
Lucy LinRounds played 2,-,-3.04,-,-,-,-,-
Jiyai ShinRounds played 4,-,-1.09,-,-,-,-,-
Rachel KuehnRounds played 2,-,-4.26,-,-,-,-,-
Makensie TooleRounds played 2,-,-4.56,-,-,-,-,-
Rose ZhangRounds played 12,-,0.34,0.49,0.06,0.15,0.29,-0.18
Yuna TakagiRounds played 4,-,-2.12,-1.69,-0.72,0.56,-1.54,-0.42
Vanessa ZhangRounds played 2,-,-2.54,-,-,-,-,-
Gabriela RuffelsRounds played 6,-,0.21,1.32,0.94,0.48,-0.10,-1.16
Yeji KwonRounds played 2,-,-5.04,-,-,-,-,-
Natsumi HayakawaRounds played 2,-,-5.20,-3.77,-0.77,-2.54,-0.46,-1.42
Whitney HillierRounds played 8,-,-1.77,-,-,-,-,-
Laney FryeRounds played 4,-,-1.20,2.41,0.01,2.20,0.20,-3.64
Hae Ran RyuRounds played 2,-,-1.70,-0.22,-0.16,0.84,-0.90,-1.47
Sakura YokomineRounds played 2,-,-2.33,-,-,-,-,-
Min-G KimRounds played 2,-,-1.06,-,-,-,-,-
Annika SorenstamRounds played 6,-,-4.20,-3.53,-1.69,-0.93,-0.92,-0.66
Laura BeveridgeRounds played 2,-,-0.68,-,-,-,-,-
Maria HernandezRounds played 6,-,-2.59,-,-,-,-,-
Sayaka TakahashiRounds played 6,-,-0.77,-,-,0.47,-,-0.08
Lucie MalchirandRounds played 2,-,-5.30,-,-,-,-,-
Momoko UedaRounds played 10,-,1.03,-0.28,0.30,-0.77,0.19,0.73
Alisa RodriguezRounds played 2,-,-0.89,-,-,-,-,-
Yuri YoshidaRounds played 4,-,1.66,-,-,-,-,-
Anna MorganRounds played 2,-,-1.20,-0.51,0.09,0.10,-0.69,-0.68
Nana SuganumaRounds played 4,-,-0.84,-,-,-,-,-
Pei-Ying TsaiRounds played 4,-,-0.84,-,-,-,-,-
Katie YooRounds played 12,-,-1.63,-1.57,-0.59,-0.15,-0.83,0.62
Annabell FullerRounds played 2,-,-3.70,-3.05,-0.21,-1.83,-1.01,-0.64
Magdalena SimmermacherRounds played 8,-,-2.43,-1.34,-0.52,-0.70,-0.08,-0.15
Min Song HaRounds played 2,-,-1.94,-,-,-,-,-
Suzuka YamaguchiRounds played 2,-,-4.44,-4.63,-3.36,-0.99,-0.27,0.09
Kylee ChoiRounds played 2,-,-2.20,-3.36,-0.96,-1.52,-0.88,1.18
Sofia GarciaRounds played 4,-,-0.37,0.49,0.59,0.47,-0.57,-0.86
Sarah SchoberRounds played 4,-,0.20,3.95,-0.19,2.31,1.04,-0.71
Benedetta MorescoRounds played 2,-,-5.11,0.80,0.15,1.02,-0.37,-5.86
Pia BabnikRounds played 23,-,0.33,0.62,0.22,0.14,0.26,-0.38
Mi Jeong JeonRounds played 4,-,-0.84,-,-,-,-,-
Aline KrauterRounds played 9,-,0.33,-2.71,0.84,-2.84,-0.71,2.51
Jenny Suh ThompsonRounds played 2,-,-3.39,-,-,-,-,-
Kylie HenryRounds played 8,-,-0.28,-1.08,-0.11,-0.72,-0.25,0.79
Ingrid Gutierrez NunezRounds played 2,-,-1.70,-0.88,-0.09,-0.73,-0.06,-0.81
Julia EngstromRounds played 4,-,-3.49,-,-,-,-,-
